timestamp,URL,name,price,DISCOUNT,weight
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Gourmet Garden Organic Capsicum Yellow,₹85,35% Off,2 pcs (250 - 300 g)
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Amul Moti - Homogenised Toned Milk (Pouch 90 Days Shelf Life)(1pc) & Onion(1pc) Combo,₹80,26% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Nandini Fresh Paneer (Pouch)(1pc) & Cucumber Green(1pc) Combo,₹129,12% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Amul Cheese Slices(1pc) & Cucumber Green(1pc) Combo,₹114,13% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Amul Butter - Pasteurised (School Pack)(1pc) & Cucumber Green(1pc) Combo,₹99,15% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Amul Cheese Slices(1pc) & Onion(1pc) Combo,₹193,13% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Id Fresh Soft & Creamy Paneer(1pc) & Onion(1pc) Combo,₹188,14% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Milky Mist Set Curd Tub 1.0 Liter(1pc) & Onion(1pc) Combo,₹167,16% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Milky Mist Plain Curd Cup(1pc) & Onion(1pc) Combo,₹115,20% Off,2 combo
02-04-2025 00:41,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208,Milky Mist Curd Pouch(1pc) & Onion(1pc) Combo,₹92,23% Off,2 combo
