Name,Price,Weight,URL,Timestamp
Local Beans 500 g,₹55.00,N/A,"https://www.jiomart.com/images/product/original/590003668/local-beans-500-g-product-images-o590003668-p590003668-0-202502241835.jpg?im=Resize=(360,360)",2025-04-10 14:12:18
Brinjal Nagpure 250 g,₹15.00,N/A,"https://www.jiomart.com/images/product/original/590003545/brinjal-nagpure-250-g-product-images-o590003545-p590003545-0-202411061150.jpg?im=Resize=(360,360)",2025-04-10 14:12:18
Brinjal Purple Striped 250 g,₹15.00,N/A,"https://www.jiomart.com/images/product/original/590004102/brinjal-purple-striped-250-g-product-images-o590004102-p590004102-0-202408070949.jpg?im=Resize=(360,360)",2025-04-10 14:12:18
Methi Leaves 1 bunch (Approx 100 g - 200 g),₹26.00,N/A,"https://www.jiomart.com/images/product/original/590004477/methi-leaves-1-bunch-approx-100-g-200-g-product-images-o590004477-p590004477-0-202502171045.jpg?im=Resize=(360,360)",2025-04-10 14:12:18
Ash Gourd Each (Approx 1000 g -1500 g),₹80.00,N/A,"https://www.jiomart.com/images/product/original/590009649/ash-gourd-each-approx-1000-g-1500-g-product-images-o590009649-p590359975-0-202408070949.jpg?im=Resize=(360,360)",2025-04-10 14:12:18
Sponge Gourd 500 g,₹34.00,N/A,"https://www.jiomart.com/images/product/original/590003667/sponge-gourd-500-g-product-images-o590003667-p590707112-0-202408070949.jpg?im=Resize=(360,360)",2025-04-10 14:12:18
Snake Gourd 500 g,₹50.00,N/A,"https://www.jiomart.com/images/product/original/590003665/snake-gourd-500-g-product-images-o590003665-p590034102-0-202409171640.jpg?im=Resize=(360,360)",2025-04-10 14:12:18
Raw Papaya 500 g,₹28.00,N/A,"https://www.jiomart.com/images/product/original/590012199/raw-papaya-500-g-product-images-o590012199-p610686343-0-202501162021.jpg?im=Resize=(360,360)",2025-04-10 14:12:18
Grapes Super Sonaka Seedless 500 g,₹59.00,N/A,"https://www.jiomart.com/images/product/original/590002415/grapes-super-sonaka-seedless-product-images-o590002415-p611008571-0-202502081746.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Dates Imported (Approx 400 g - 500 g),₹159.00,N/A,"https://www.jiomart.com/images/product/original/590002744/dates-imported-approx-400-g-500-g-product-images-o590002744-p590002744-0-202409271058.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Watermelon Kiran Big 1 pc (Approx. 2800 g - 4000 g),₹55.00,N/A,"https://www.jiomart.com/images/product/original/590001265/watermelon-kiran-big-1-pc-approx-2800-g-4000-g-product-images-o590001265-p590041413-0-202409041925.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Musk Melon 1 pc (Approx. 600 g - 900 g),₹29.00,N/A,"https://www.jiomart.com/images/product/original/590001887/musk-melon-1-pc-approx-600-g-900-g-product-images-o590001887-p591217775-0-202408070949.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Tender Coconut Cling Wrapped (1 pc) (Approx 900 g - 1300 g),₹69.00,N/A,"https://www.jiomart.com/images/product/original/590003564/tender-coconut-cling-wrapped-1-pc-approx-900-g-1300-g-product-images-o590003564-p590003564-0-202408070949.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Pineapple Queen 1 pc (Approx 700 g - 1200 g),₹79.00,N/A,"https://www.jiomart.com/images/product/original/590000070/pineapple-queen-1-pc-approx-700-g-1200-g-product-images-o590000070-p590000070-0-202409041925.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
N/A,N/A,N/A,N/A,2025-04-10 14:12:31
Thomson Seedless Grapes 500 g,₹55.00,N/A,"https://www.jiomart.com/images/product/original/590000044/thomson-seedless-grapes-500-g-product-images-o590000044-p590142552-0-202502271145.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Pomegranate Economy 6 pcs (Pack),₹240.00,N/A,"https://www.jiomart.com/images/product/original/590001268/pomegranate-economy-6-pcs-pack-product-images-o590001268-p590485022-0-202408070949.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Kiwi Imported 3 pcs (Pack),₹110.00,N/A,"https://www.jiomart.com/images/product/original/590009674/kiwi-imported-3-pcs-pack-product-images-o590009674-p590317377-0-202408070949.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Mosambi 3 kg (Pack),₹179.00,N/A,"https://www.jiomart.com/images/product/original/590006806/mosambi-3-kg-pack-product-images-o590006806-p590032918-0-202412031712.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Apple Royal Gala 4 pcs (Approx 500 g - 700 g),₹189.00,N/A,"https://www.jiomart.com/images/product/original/590001723/apple-royal-gala-4-pcs-approx-500-g-700-g-product-images-o590001723-p590001723-0-202409061145.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Apple Red Delicious 4 pcs (Approx 550 g - 700 g),₹189.00,N/A,"https://www.jiomart.com/images/product/original/590001721/apple-red-delicious-4-pcs-approx-550-g-700-g-product-images-o590001721-p590001721-0-202408070949.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
N/A,N/A,N/A,N/A,2025-04-10 14:12:31
Mosambi 6 pcs (Pack) (Approx. 450 g - 850 g),₹59.00,N/A,"https://www.jiomart.com/images/product/original/590001739/mosambi-6-pcs-pack-approx-450-g-850-g-product-images-o590001739-p590001739-0-202409251417.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Papaya (Each) (Approx. 800 g - 1600 g),₹55.00,N/A,"https://www.jiomart.com/images/product/original/590001247/papaya-each-approx-800-g-1600-g-product-images-o590001247-p590001247-0-202409041925.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Orange 6 pcs (Pack) (Approx 750 g - 900 g),₹110.00,N/A,"https://www.jiomart.com/images/product/original/590001738/orange-6-pcs-pack-approx-750-g-900-g-product-images-o590001738-p590034369-0-202412031959.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Pomegranate Kesar 4 pcs (Approx 800 g - 1000 g),₹280.00,N/A,"https://www.jiomart.com/images/product/original/590003244/pomegranate-kesar-4-pcs-approx-800-g-1000-g-product-images-o590003244-p590144486-0-202410141244.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Anjeer (Pack) (Approx 300 g - 400 g),₹65.00,N/A,"https://www.jiomart.com/images/product/original/590004501/anjeer-pack-approx-300-g-400-g-product-images-o590004501-p590144488-0-202501061730.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Blue Berry Imported 100 g,₹249.00,N/A,"https://www.jiomart.com/images/product/original/590000849/blue-berry-imported-100-g-product-images-o590000849-p590707111-0-202501031744.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Alphonso Mango 6 pcs (Box) (Approx 1300 g - 1500 g),₹649.00,N/A,"https://www.jiomart.com/images/product/original/590002403/alphonso-mango-6-pcs-box-approx-1300-g-1500-g-product-images-o590002403-p590002403-0-202504011510.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Mango Totapuri 4 pcs (Approx 1200 g-1400 g),₹249.00,N/A,"https://www.jiomart.com/images/product/original/590009518/mango-totapuri-4-pcs-approx-1200-g-1400-g-product-images-o590009518-p590177429-0-202408070949.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Mango Badami 4 pcs (Approx 1200 g-1400 g),₹259.00,N/A,"https://www.jiomart.com/images/product/original/590009517/mango-badami-4-pcs-approx-1200-g-1400-g-product-images-o590009517-p590177428-0-202503292351.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Sapota 6 pcs (Pack) (Approx 450 g -550 g),₹75.00,N/A,"https://www.jiomart.com/images/product/original/590003068/sapota-6-pcs-pack-approx-450-g-550-g-product-images-o590003068-p590309513-0-202409271101.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Orange Imported 4 pcs (Pack) (Approx 900 g - 1100 g),₹140.00,N/A,"https://www.jiomart.com/images/product/original/590004112/orange-imported-4-pcs-pack-approx-900-g-1100-g-product-images-o590004112-p590087385-0-202409171903.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Apple Granny Smith 4 pcs (Approx 450 g - 600 g),₹249.00,N/A,"https://www.jiomart.com/images/product/original/590001719/apple-granny-smith-4-pcs-approx-450-g-600-g-product-images-o590001719-p590049344-0-202412031748.jpg?im=Resize=(360,360)",2025-04-10 14:12:31
Amul Fresh Paneer 200 g (Pack),₹79.00,200 g,"https://www.jiomart.com/images/product/original/490174895/amul-fresh-paneer-200-g-pack-product-images-o490174895-p490174895-0-202203170432.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Amul Mozzarella & Cheddar Diced Cheese Blend 200 g (Pack),₹112.00,N/A,"https://www.jiomart.com/images/product/original/491376662/amul-mozzarella-cheddar-diced-cheese-blend-200-g-pack-product-images-o491376662-p491376662-0-202406041526.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Milky Mist Paneer 200 g (Pack),₹82.00,200 g,"https://www.jiomart.com/images/product/original/490006894/milky-mist-paneer-200-g-pack-product-images-o490006894-p490006894-0-202410161200.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Amul Cheese Block 1 kg,₹516.00,1 kg,"https://www.jiomart.com/images/product/original/490010199/amul-cheese-block-1-kg-carton-product-images-o490010199-p490010199-0-202211031818.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Amul Mozzarella Pizza Diced Cheese 1 kg (Pouch),₹495.00,N/A,"https://www.jiomart.com/images/product/original/490808037/amul-mozzarella-pizza-diced-cheese-1-kg-pouch-product-images-o490808037-p590041248-0-202203150526.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Go Cheese Slices 200 g (Pouch),₹95.00,200 g,"https://www.jiomart.com/images/product/original/490800691/go-cheese-slices-200-g-pouch-product-images-o490800691-p490800691-0-202503041919.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
N/A,N/A,N/A,N/A,2025-04-10 14:12:44
Amul Cheese Chiplets 200 g (Carton),₹128.00,N/A,"https://www.jiomart.com/images/product/original/490001402/amul-cheese-chiplets-200-g-carton-product-images-o490001402-p490001402-0-202206101257.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Amul Plain Cheese Slices 200 g (Pack of 10),₹137.00,N/A,"https://www.jiomart.com/images/product/original/490001404/amul-plain-cheese-slices-200-g-pack-product-images-o490001404-p490001404-0-202205172212.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Amul Cheese Block 200 g,₹123.00,200 g,"https://www.jiomart.com/images/product/original/490001401/amul-cheese-block-200-g-carton-product-images-o490001401-p490001401-0-202306061709.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Go Cheese Pizza Block 200 g,₹92.00,200 g,"https://www.jiomart.com/images/product/original/490628721/go-cheese-pizza-block-200-g-product-images-o490628721-p490628721-0-202502200408.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Go Plain Cheese Slices 476 g (Pouch),₹242.00,N/A,"https://www.jiomart.com/images/product/original/490800934/go-plain-cheese-slices-476-g-pouch-product-images-o490800934-p490800934-0-202203142126.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Britannia Cheese Cubes 200 g,₹120.00,200 g,"https://www.jiomart.com/images/product/original/490001397/britannia-cheese-cubes-200-g-product-images-o490001397-p490001397-0-202502201010.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Amul Cheese Cubes 1 kg (Carton),₹567.00,N/A,"https://www.jiomart.com/images/product/original/490106453/amul-cheese-cubes-1-kg-carton-product-images-o490106453-p490106453-0-202306071337.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Gowardhan Soft & Nutritious Paneer Classic Block 200 g (Pouch),₹83.00,N/A,"https://www.jiomart.com/images/product/original/490863551/gowardhan-soft-nutritious-paneer-classic-block-200-g-pouch-product-images-o490863551-p490863551-0-202210041751.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Britannia Cheese Slices 180 g,₹125.00,180 g,"https://www.jiomart.com/images/product/original/490001395/britannia-cheese-slices-180-g-product-images-o490001395-p490001395-0-202502200948.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Amul Blend Diced Cheese 1 kg (Pouch),₹495.00,N/A,"https://www.jiomart.com/images/product/original/491376661/amul-blend-diced-cheese-1-kg-pouch-product-images-o491376661-p491376661-0-202207272102.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Amul Yummy Plain Cheese Spread 200 g (Container),₹104.00,N/A,"https://www.jiomart.com/images/product/original/490001407/amul-yummy-plain-cheese-spread-200-g-container-product-images-o490001407-p490001407-0-202206101257.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Amul Cheese Slices 100 g (Pack of 5),₹80.00,100 g,"https://www.jiomart.com/images/product/original/490007992/amul-cheese-slices-100-g-pack-product-images-o490007992-p590087443-0-202205172212.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Amul Processed Cheese Slices 750 g (Pack),₹409.00,N/A,"https://www.jiomart.com/images/product/original/490808039/amul-processed-cheese-slices-750-g-pack-product-images-o490808039-p490808039-0-202305302000.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Britannia Cheezza 200 g (Carton),₹99.00,N/A,"https://www.jiomart.com/images/product/original/490001400/britannia-cheezza-200-g-carton-product-images-o490001400-p490001400-0-202502200948.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
D'lecta Cheese Slices 200 g (Pouch),₹99.00,200 g,"https://www.jiomart.com/images/product/original/492580301/d-lecta-cheese-slices-200-g-pouch-product-images-o492580301-p590946262-0-202206291627.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
D'lecta Mozzarella Block Cheese 200 g (Carton),₹108.00,N/A,"https://www.jiomart.com/images/product/original/493625848/d-lecta-100-mozzarella-block-cheese-200-g-carton-product-images-o493625848-p595882176-0-202211301730.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Mother Dairy Cheese Slices 200 g (Pack),₹120.00,N/A,"https://www.jiomart.com/images/product/original/490005418/mother-dairy-cheese-slices-200-g-pack-product-images-o490005418-p490005418-0-202309090125.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Mother Dairy Cheese Cubes 180 g (Carton),₹108.00,N/A,"https://www.jiomart.com/images/product/original/490459430/mother-dairy-cheese-cubes-180-g-carton-product-images-o490459430-p590041362-0-202309090123.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
D'lecta Cheddar Cheese Cubes 200 g (Carton),₹113.00,N/A,"https://www.jiomart.com/images/product/original/491419335/d-lecta-cheddar-cheese-cubes-200-g-carton-product-images-o491419335-p590067383-0-202203170640.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Britannia Cheese Slices 400 g (Pack),₹230.00,400 g,"https://www.jiomart.com/images/product/original/492863790/britannia-cheese-slices-400-g-pack-product-images-o492863790-p592080370-0-202502200948.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Gowardhan Fresh Paneer 500 g (Pack),₹190.00,N/A,"https://www.jiomart.com/images/product/original/491070317/gowardhan-fresh-paneer-500-g-pack-product-images-o491070317-p590041292-0-202203151358.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Prabhat Malai Paneer 400 g (Pouch),₹135.00,N/A,"https://www.jiomart.com/images/product/original/491897840/prabhat-malai-paneer-400-g-pouch-product-images-o491897840-p590032776-0-202402151725.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
Britannia Blend And Diced Pizza Cheese 200 g (Pouch),₹91.00,200 g,"https://www.jiomart.com/images/product/original/491961054/britannia-blend-and-diced-pizza-cheese-200-g-pouch-product-images-o491961054-p590334665-0-202502201010.jpg?im=Resize=(360,360)",2025-04-10 14:12:44
