name,price,weight,URL,timestamp
Onion 1 kg,₹29.00,N/A,"https://www.jiomart.com/images/product/original/590003515/onion-1-kg-product-images-o590003515-p590003515-0-202408070949.jpg?im=Resize=(360,360)",2025-04-02 12:30:54
Potato 1 kg,₹33.00,N/A,"https://www.jiomart.com/images/product/original/590003516/potato-1-kg-product-images-o590003516-p590003516-0-202408070949.jpg?im=Resize=(360,360)",2025-04-02 12:30:54
Onion 5 kg (Pack),₹140.00,N/A,"https://www.jiomart.com/images/product/original/590002136/onion-5-kg-pack-product-images-o590002136-p590002136-0-202408070949.jpg?im=Resize=(360,360)",2025-04-02 12:30:54
Sweet Corn 1 pc (Approx 250 g - 450 g),₹16.00,N/A,"https://www.jiomart.com/images/product/original/590001266/sweet-corn-1-pc-approx-250-g-450-g-product-images-o590001266-p590001266-0-202409171907.jpg?im=Resize=(360,360)",2025-04-02 12:30:54
Tomato 1 kg,₹25.00,N/A,"https://www.jiomart.com/images/product/original/590003517/tomato-1-kg-product-images-o590003517-p590003517-0-202408091800.jpg?im=Resize=(360,360)",2025-04-02 12:30:54
NutraFresh Potato Low Sugar 2 kg,₹76.00,N/A,"https://www.jiomart.com/images/product/original/590001788/nutrafresh-potato-low-sugar-2-kg-product-images-o590001788-p590001788-0-202408132027.jpg?im=Resize=(360,360)",2025-04-02 12:30:54
N/A,N/A,N/A,N/A,2025-04-02 12:30:54
Drumstick (Each) (Approx. 25 g - 100 g),₹5.00,N/A,"https://www.jiomart.com/images/product/original/590000128/drumstick-each-approx-25-g-100-g-product-images-o590000128-p590000128-0-202406192014.jpg?im=Resize=(360,360)",2025-04-02 12:30:54
Bhendi (Okra) 250 g,₹13.50,N/A,"https://www.jiomart.com/images/product/original/590003550/bhendi-okra-250-g-product-images-o590003550-p590003550-0-202408070949.jpg?im=Resize=(360,360)",2025-04-02 12:30:54
Green Capsicum 500 g,₹28.00,N/A,"https://www.jiomart.com/images/product/original/590003662/green-capsicum-500-g-product-images-o590003662-p590003662-0-202408132028.jpg?im=Resize=(360,360)",2025-04-02 12:30:54
