timestamp,name,price,weight,URL
02-04-2025 01:36,Curry Leaves & Coriander Leaves,26,Curry Leaves & Coriander Leaves,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Indian Tomato,32,Indian Tomato,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Fresh Seasonal Vegetable,52,Fresh Seasonal Vegetable,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Peeled Sambhar Onion by Urban Harvest,74,Peeled Sambhar Onion by Urban Harvest,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Onion (Eerulli),153,Onion (Eerulli),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Green Peas (Batani),98,Green Peas (Batani),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Sikkim Ginger (Shunti),60,Sikkim Ginger (Shunti),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Ooty Potato (Aloo Gadde),51,Ooty Potato (Aloo Gadde),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Yam Bean,76,Yam Bean,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Neem Stem,44,Neem Stem,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
02-04-2025 01:36,Broad Beans (Huralikaayi),38,Broad Beans (Huralikaayi),https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
